,Unit,Value,Year,Month,Numeric_date
308,Parts Per Million,327.36,1971.0,7.0,1971.5833333333333
310,Parts Per Million,325.43,1971.0,8.0,1971.6666666666667
312,Parts Per Million,323.36,1971.0,9.0,1971.75
314,Parts Per Million,323.56,1971.0,10.0,1971.8333333333333
316,Parts Per Million,324.8,1971.0,11.0,1971.9166666666667
318,Parts Per Million,326.01,1971.0,12.0,1972.0
320,Parts Per Million,326.77,1972.0,1.0,1972.0833333333333
322,Parts Per Million,327.63,1972.0,2.0,1972.1666666666667
324,Parts Per Million,327.75,1972.0,3.0,1972.25
326,Parts Per Million,329.72,1972.0,4.0,1972.3333333333333
328,Parts Per Million,330.07,1972.0,5.0,1972.4166666666667
330,Parts Per Million,329.09,1972.0,6.0,1972.5
332,Parts Per Million,328.04,1972.0,7.0,1972.5833333333333
334,Parts Per Million,326.32,1972.0,8.0,1972.6666666666667
336,Parts Per Million,324.84,1972.0,9.0,1972.75
338,Parts Per Million,325.2,1972.0,10.0,1972.8333333333333
340,Parts Per Million,326.5,1972.0,11.0,1972.9166666666667
342,Parts Per Million,327.55,1972.0,12.0,1973.0
344,Parts Per Million,328.55,1973.0,1.0,1973.0833333333333
346,Parts Per Million,329.56,1973.0,2.0,1973.1666666666667
348,Parts Per Million,330.3,1973.0,3.0,1973.25
350,Parts Per Million,331.5,1973.0,4.0,1973.3333333333333
352,Parts Per Million,332.48,1973.0,5.0,1973.4166666666667
354,Parts Per Million,332.07,1973.0,6.0,1973.5
356,Parts Per Million,330.87,1973.0,7.0,1973.5833333333333
358,Parts Per Million,329.31,1973.0,8.0,1973.6666666666667
360,Parts Per Million,327.51,1973.0,9.0,1973.75
362,Parts Per Million,327.18,1973.0,10.0,1973.8333333333333
364,Parts Per Million,328.16,1973.0,11.0,1973.9166666666667
366,Parts Per Million,328.64,1973.0,12.0,1974.0
368,Parts Per Million,329.35,1974.0,1.0,1974.0833333333333
370,Parts Per Million,330.71,1974.0,2.0,1974.1666666666667
372,Parts Per Million,331.48,1974.0,3.0,1974.25
374,Parts Per Million,332.65,1974.0,4.0,1974.3333333333333
376,Parts Per Million,333.18,1974.0,5.0,1974.4166666666667
378,Parts Per Million,332.2,1974.0,6.0,1974.5
380,Parts Per Million,331.07,1974.0,7.0,1974.5833333333333
382,Parts Per Million,329.15,1974.0,8.0,1974.6666666666667
384,Parts Per Million,327.33,1974.0,9.0,1974.75
386,Parts Per Million,327.28,1974.0,10.0,1974.8333333333333
